x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x12 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30
05 02 02 02 02 02 02 02 01 02 02 01 02 01 02 01 02 14 01 01 03 02 04 07 05 03 04 06 
04 02 02 02 02 02 02 02 01 03 01 01 02 02 04 01 04 13 01 05 03 02 03 01 03 04 02 09 
02 02 02 02 02 02 02 02 01 03 02 01 02 01 06 01 03 15 01 05 03 02 01 06 04 04 02 03 
03 02 02 02 02 02 02 02 01 04 01 01 02 02 03 01 02 15 01 02 03 02 04 01 07 05 04 08 
05 02 02 02 02 02 02 02 01 05 02 03 02 02 05 02 02 19 01 01 03 02 03 07 04 03 02 04 
04 02 02 02 02 02 02 02 02 03 02 01 02 01 02 02 03 18 01 01 03 02 02 01 04 03 01 05 
08 02 02 02 02 02 02 02 02 02 01 02 01 01 04 01 03 15 01 01 03 02 04 05 04 05 02 08 
05 02 02 02 02 02 02 02 02 02 01 01 01 02 09 02 03 17 01 01 03 02 04 07 03 03 01 03 
05 02 02 02 02 02 02 02 02 02 01 04 02 02 06 02 05 15 01 04 03 02 02 06 04 03 04 05 
05 02 02 02 02 02 02 02 02 03 01 02 03 02 02 02 04 18 01 02 03 02 08 06 03 03 04 10 
03 02 02 02 02 02 02 02 02 03 02 01 02 01 04 03 03 15 01 05 03 02 04 03 06 04 02 05 
06 02 02 02 02 02 02 02 01 02 02 01 02 01 09 01 04 18 01 04 03 02 03 02 03 04 02 05 
02 02 02 02 02 02 02 02 02 03 02 03 03 01 01 01 03 15 01 02 03 02 03 03 04 03 01 06 
02 01 02 01 01 01 02 01 01 02 01 01 02 01 02 02 04 16 01 01 03 02 01 02 04 03 01 05 
05 02 02 02 02 02 02 02 03 03 02 01 03 02 09 01 05 18 01 01 03 02 04 01 05 03 02 08 
03 02 02 02 02 02 02 02 02 02 02 02 02 01 05 01 03 18 01 02 03 02 04 01 05 04 04 05 
05 02 02 02 02 02 02 02 01 04 02 03 02 02 05 01 03 15 01 03 03 02 05 07 03 03 04 07 
05 02 02 02 02 02 02 02 01 02 02 03 01 01 07 02 05 15 01 02 03 02 04 01 02 03 01 07 
06 02 02 02 02 02 02 02 01 02 02 03 02 01 02 01 04 17 01 01 03 02 03 02 06 04 01 07 
03 02 02 02 02 02 02 02 02 02 02 02 02 01 03 01 05 15 01 01 03 02 03 01 03 04 04 02 
01 02 02 02 02 02 02 02 02 02 02 01 01 01 03 01 04 17 01 02 03 02 04 06 04 04 02 08 
07 02 02 02 02 02 02 02 04 04 01 01 01 01 09 02 04 15 01 01 03 02 02 03 05 05 03 01 
08 02 02 02 02 02 02 02 03 02 02 01 02 01 08 02 02 15 01 01 03 02 07 03 04 03 01 06 
03 02 02 02 02 02 02 02 01 03 01 03 02 02 09 02 03 15 01 02 03 02 07 06 07 03 02 08 
08 02 02 02 02 02 02 02 02 03 02 03 02 01 06 02 03 17 01 02 03 02 02 01 03 05 04 10 
02 01 02 02 01 01 01 01 02 02 02 01 02 01 05 02 04 15 01 02 03 02 06 03 07 03 04 08 
05 02 02 02 02 02 02 02 02 03 01 03 03 01 04 02 02 14 01 01 03 02 03 07 06 03 04 12 
02 02 02 02 02 02 02 02 03 03 02 02 02 01 08 02 04 15 01 01 03 02 03 06 04 03 02 08 
06 02 02 02 02 02 02 02 03 03 01 02 01 02 09 01 03 15 01 02 03 02 05 01 05 04 04 01 
02 02 02 02 02 02 02 02 01 02 02 03 02 02 04 01 04 17 01 01 03 02 06 06 05 04 04 12 
01 02 02 02 02 02 02 02 01 03 02 01 02 01 05 01 02 19 01 02 03 02 05 06 08 03 01 03 
05 02 02 02 02 02 02 02 01 04 01 01 02 01 04 01 01 12 01 02 04 02 06 06 07 03 02 04 
05 01 02 01 01 01 01 01 01 02 02 03 02 01 01 02 02 11 01 01 04 02 08 01 05 03 04 05 
02 02 02 02 02 02 02 02 01 04 02 02 01 01 08 02 05 19 01 01 03 02 05 06 04 04 02 06 
05 02 02 02 02 02 02 02 01 02 01 03 01 01 09 02 03 20 01 01 03 02 05 01 06 03 02 06 
05 02 02 02 02 02 02 02 03 03 02 03 01 01 05 02 03 19 01 02 03 02 05 06 02 03 02 03 
03 02 02 02 02 02 02 02 02 04 02 03 03 01 09 02 01 11 01 01 04 02 03 06 05 03 04 01 
02 02 02 02 02 02 02 02 02 03 02 01 02 02 06 02 02 10 01 01 04 02 07 01 03 04 04 07 
02 02 02 02 02 02 02 02 01 02 02 01 02 01 01 01 02 20 01 05 03 02 04 06 04 04 01 05 
01 02 02 02 02 02 02 02 02 04 02 01 02 02 03 01 05 11 01 01 04 02 03 01 04 04 01 01 
05 02 02 02 02 02 02 02 02 02 02 03 02 01 06 02 04 21 01 01 03 02 04 01 04 05 01 01 
01 01 01 01 01 01 01 01 01 03 02 02 02 01 02 01 05 13 01 01 04 02 01 07 01 03 01 04 
05 02 02 02 02 02 02 02 02 04 01 01 02 02 07 02 04 19 01 01 03 02 03 06 06 03 01 10 
05 02 02 02 02 02 02 02 02 02 02 02 02 02 08 02 03 12 01 02 04 02 03 06 05 05 04 03 
03 02 02 02 02 02 02 02 02 02 02 03 02 01 01 03 04 16 01 03 03 02 02 01 06 03 03 05 
01 02 02 02 02 02 02 02 02 04 02 01 02 01 08 02 03 21 01 01 03 02 03 06 08 03 01 01 
01 02 02 02 02 02 02 02 01 02 02 03 02 01 03 01 03 12 01 01 04 02 04 01 03 03 04 03 
04 02 02 02 02 02 02 02 02 03 01 02 02 02 04 01 03 11 01 01 04 02 06 01 02 04 04 07 
05 02 02 02 02 02 02 02 02 03 02 01 02 01 09 01 03 20 01 02 03 02 04 02 04 04 02 07 
02 02 02 02 02 02 02 02 02 03 01 03 02 01 06 01 05 20 01 02 03 02 05 01 04 03 04 02 
05 02 02 02 02 02 02 02 02 02 01 02 01 02 08 01 03 11 01 01 04 02 02 06 04 03 01 09 
